0x1235,29,42.7,0,0.06,0.03,0.05,0.02,0,0,0,0,76.41,1.193,1.798,3.285,3.747,0.99,1.8,0.48,0.18,0.11
0x1235,30,43.77,10000,10.34,10.36,10.38,10.37,20.37,20.33,20.11,20.22,75.67,1.193,1.798,3.284,3.747,0.99,1.8,0.48,0.18,0.11
0x1235,30.75,44.17,20000,21.77,21.79,21.81,21.8,43.38,43.31,42.77,43,75.62,1.193,1.798,3.284,3.747,0.99,1.8,0.49,0.18,0.11
0x1235,31.25,43.99,30000,33.22,33.24,33.27,33.25,66.47,66.36,65.51,65.82,75.58,1.193,1.798,3.284,3.747,0.99,1.8,0.49,0.18,0.11
0x1235,32,45.2,40000,44.67,44.69,44.72,44.7,89.56,89.4,88.37,88.68,75.67,1.193,1.798,3.284,3.747,0.99,1.8,0.49,0.18,0.11
0x1235,32.5,45.2,45000,50.4,50.42,50.46,50.43,101.1,100.99,99.69,100.11,74.93,1.193,1.798,3.284,3.747,0.99,1.8,0.49,0.18,0.11
0x1235,32.75,45.73,46000,51.54,51.57,51.6,51.58,103.43,103.28,101.98,102.4,75.32,1.193,1.798,3.284,3.747,0.99,1.8,0.49,0.18,0.11
0x1235,33.25,46.27,47000,52.69,52.72,52.75,52.73,105.73,105.61,104.24,104.66,75.04,1.193,1.798,3.284,3.747,0.99,1.8,0.49,0.18,0.11
0x1235,33.5,46.27,48000,53.84,53.86,53.9,53.87,108.06,107.94,106.53,106.95,75.2,1.193,1.798,3.284,3.747,0.99,1.8,0.49,0.18,0.11
0x1235,34,46.39,49000,54.98,55.01,55.05,55.02,110.43,110.24,108.82,109.24,75.21,1.193,1.797,3.284,3.747,0.99,1.8,0.49,0.18,0.11
0x1235,34.25,46.9,50000,56.13,56.16,56.19,56.17,112.68,112.57,111.08,111.54,75.43,1.193,1.797,3.284,3.747,0.99,1.8,0.49,0.18,0.11
0x1235,34.5,47.03,51000,57.28,57.3,57.34,57.31,115.01,114.9,113.37,113.87,75.15,1.193,1.797,3.284,3.747,0.99,1.8,0.49,0.18,0.11
0x1235,34.75,47.57,52000,58.42,58.45,58.49,58.46,117.27,117.15,115.63,116.16,75.1,1.193,1.797,3.284,3.747,0.99,1.8,0.49,0.18,0.11
0x1235,35,47.22,53000,59.57,59.6,59.64,59.61,119.6,119.52,118.03,118.42,74.71,1.193,1.797,3.284,3.747,0.99,1.79,0.5,0.18,0.11
0x1235,35,47.53,0,0.06,0.03,0.05,0.02,0,0,0,0,75.4,1.193,1.797,3.284,3.747,0.99,1.8,0.5,0.18,0.11
,,,,,,,,,,,,,,,,,,,,,
0.0011453,-1.0729,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
-1.1329,-1.1029,-1.1229,-1.0929,,,,,,,,,,,,,,,,,,
0.0401,0.0201,1E-04,0.0101,,,,,,,,,,,,,,,,,,
0.0631,0.0431,0.0231,0.0331,,,,,,,,,,,,,,,,,,
0.0661,0.0461,0.0161,0.0361,,,,,,,,,,,,,,,,,,
0.0691,0.0491,0.0191,0.0391,,,,,,,,,,,,,,,,,,
0.0656,0.0456,0.0056,0.0356,,,,,,,,,,,,,,,,,,
0.0709,0.0409,0.0109,0.0309,,,,,,,,,,,,,,,,,,
0.0662,0.0362,0.0062,0.0262,,,,,,,,,,,,,,,,,,
0.0615,0.0415,0.0015,0.0315,,,,,,,,,,,,,,,,,,
0.0668,0.0368,-0.0032,0.0268,,,,,,,,,,,,,,,,,,
0.0621,0.0321,0.0021,0.0221,,,,,,,,,,,,,,,,,,
0.0574,0.0374,-0.0026,0.0274,,,,,,,,,,,,,,,,,,
0.0627,0.0327,-0.0073,0.0227,,,,,,,,,,,,,,,,,,
0.058,0.028,-0.012,0.018,,,,,,,,,,,,,,,,,,
